category,item_id,content
7.出貨,7-5,自用車與外車同時要進廠時 以自用車優先上下貨 先預留外車司機電話 待自用車開出廠外 再通知外車進廠
7.出貨,7-6,客戶訂購鐵板 區分為箱板與捲料 若廠內無該產品 需更改箱板與捲料時 須事先與客戶協商確認後 才可變更
7.出貨,7-7,notion/國凱進出貨行事曆中，如客戶要求今日到貨，而今日無法交貨時，可事先與客戶協調變更交貨日期，並在notion中變更交貨日期
7.出貨,7-8,收到訂購單 需蓋章回傳訂購單客戶: 巨孚 / 達勝 / 新秀波
7.出貨,7-9,收現金客戶 於出貨前 再次提醒 該客戶需收現
7.出貨,7-11,"每月25日結帳, key in銷貨單及出貨人員請特別注意,銷貨單帳款月份要確認當月帳或下月帳"
7.出貨,7-13,單價未確認的訂購單不要列印，需等批價完成才能列印
7.出貨,7-14,富中用手搬運，要特別注意，不能降價
7.出貨,7-15,遇到客戶表示訂錯貨時，請務必同步詢問，是否協助處理正確的商品。
7.出貨,7-17,B093鴻榮槽鐵叫料都是【日本】
7.出貨,7-18,B416 翔泰同一個PO不同料請分不同單，例如一個PO有平鐵38×4.5以及32×4.5，請打成兩張，若於訂單中未分開，請務必於銷貨單分開出單。
7.出貨,7-20,出車前需確認，客人若有多張訂單，原則上以【整單完成】出貨；倘若客人有急【指定貨品】才分批排車出貨(以防客人誤會訂單漏料未訂，也方便日後對帳)；出貨人員務必在出貨前確認系統未結訂單
7.出貨,7-21,"【自取客戶】：
1.訂單需蓋章或是官方LINE上文字承諾 (尤其是 恆鈞 、或是有更改紀錄的客戶)
2.同意自取前需通過ANDY同意，並確認付款方式
3.告知客戶備料完成，我們通知客戶取貨
4.要跟客戶約好【取貨時間】且寫上進貨出行事曆
5.客戶來廠取貨前，確認廠內車況、發票是否開立、銷貨單是否已轉,先準備好【找零的現金、發票】"
7.出貨,7-22,排車人員上下午交接：上午排車人員若與下午排車交接時，先給Andy確認，若Andy不在，給婕柔確認。
7.出貨,7-23,客戶若有裁切的部分，務必要切完之後才可送貨給客戶【國凱天條】
7.出貨,7-24,廠內若有多個司機同時回來，先排一單讓一位司機出去，再好好排後面的車趟。
7.出貨,7-25,批價前，請預留半小時批價，切勿出貨前再來確認單價
7.出貨,7-26,【指送客戶】轉銷貨單時一律不清單價，【民訊送鈺順】已與對方老闆確認可以【清單價】。
7.出貨,7-27,確定出貨才能印出【銷貨單】，請勿不出貨先印，以免影響月底庫存
7.出貨,7-28,三個司機不要同時排車遠程，避免半天無車可排
7.出貨,7-29,訂購單上的資訊未完整，特別是【單價】，【不能印出！！！】
7.出貨,7-36,"出貨時，若下貨方式為外調吊車或其他特殊需求，請特別備註時間，提醒自家車，另外尤其是外車出貨，請明確規範，並標註可容許前後30分鐘，若超過太多酌收誤時費。需注意的客戶：G68-翌丞
"
7.出貨,7-37,"排車趟：
1.小林請小姐確認下一台司機到廠時間
2.按照已完工可送的訂單用GOOGLE MAP預估送貨時間"
7.出貨,7-38,鐵板送貨，若厚度1t以下的，請勿用【吊的】，用搬的。
8.案例參考,8-1,拓遠案件:為降低交易風險 要求客戶付現或匯款 可以供應商為獨佔市場說明供需狀況
8.案例參考,8-2,以創奕能源科技案例 進行作業流程優化 : (1)往後將有多項類似作業整合模式 (2)以專案管理模式進行(3)提前協商外包商進行產品分類
9.應收帳款,9-1,收現金客戶 於出貨前 再次提醒 該客戶需收現
9.應收帳款,9-2,"每月25日結帳, key in銷貨單及出貨人員請特別注意,銷貨單帳款月份要確認當月帳或下月帳"
9.應收帳款,9-3,"紅單確認銷貨總金額彙總與發票相符後,核對人員需蓋個人章"
9.應收帳款,9-4,每月20日結帳：秀波、國順、宏于
9.應收帳款,9-5,現金客戶沖帳執行流程：（不管是約好的自取客戶還是客戶自行跑來廠內進行買賣都請遵守）                                                                                                                        收現金的同仁負責：1.現金交給”美圻”，勿給其他人 2.美圻收到現金，告知菲菲，請菲菲沖帳且在銷貨單上備註已收現金 3. 美圻把錢給ANDY確認                                                                                                              
9.應收帳款,9-6,客戶之帳款付款方式與時間，不論是舊客戶或新客戶，請依照公司規定，若有特殊需求，需經過主管留下書面或文字同意，方可更改票期或付款條件。
10.應付帳款,10-1,"開支票作業流程       帳款管理／付  1. 輸鍵完成【應付支票】後， 先列出當日開票明細 2. 委請另一同仁, 協助轉帳傳票之支票號碼／金額／到票日期核對 3. 資料核對無誤, 再交回原開票同仁, 進行支票列印"
11.行政,11-1,掛號信件需確認費用金額及來源 並KEY IN ERP作記錄存檔
11.行政,11-2,中午12:00準時休息並關燈
11.行政,11-3,新人報到資料: (1)身分證正反面影本(2)最高學歷證明(3)健康檢查表(4)彰銀帳戶(5)良民證
11.行政,11-4,為避免下水道堵塞，皆不可將食物、飲料倒入【洗手台&馬桶】
11.行政,11-5,經討論過後的SOP流程，請務必遵守。
11.行政,11-6,訪客流程：1.已預約者，按照時間來接待；2.未預約者，先跟對方了解什麼樣的事，再跟聯絡窗口預約時間，請勿當下就請對方進來。尤其沒有預約臨時現場要或採購者，可用排程已滿，無法臨時服務為由拒絕，留下需求、名片聯繫方式，再報價。
11.行政,11-7,任何來修理之前，請跟小姐確認時間且預約，做好記錄：菲菲→婕柔→宛芝→涂小姐；人員來現場修理時，請確實做好修理前、後差異紀錄，照片可回傳官方line作為紀錄。。
11.行政,11-9,工作項目不管是外部還是內部，凡有【溝通】、【協詢】等事項，為保護公司以及同事，請務必要使用文字記錄，不管是網路網路上的文字訊息或是書面紙本。
11.行政,11-10,內部辦公室同仁，請依日曆完成檢核及工作項目 (112.12.27修訂)
12.公司資產,12-1,設備機台檢修詢問事項 :　(1) 詢問需更換內容(2) 更換的東西是否為消耗品(3) 更換物品的價格？若非消耗品，詢問保固時間
12.公司資產,12-2,自2023/7/3起，垃圾分類為一般垃圾、瓶罐、廢紙容器以及廚餘。
12.公司資產,12-3,"[車輛狀況處理程序]
1.司機發現車輛問題後，立即向主管告知之外，請同步反應給辦公室小姐，並進行拍照與文字紀錄。
2.小姐協助進行車輛問題反應紀錄於公司(記錄在?)。
3.與主管確認後，發現車輛問題之司機，請直接將車開到修車廠(指定修車廠聯繫資料裕益汽車02-22689399#135，或另外一家)處理。PS:哪一間修車廠會依處理問題而不同。
4.與修車廠需確認是否車輛有空間直接入修車廠停放，若維修預計要花的時間，並請同步反應給公司小姐進行紀錄。
5.司機從修車廠返回公司可請同事支援或是搭乘UBER。"
13.場內維運,13-1,保持公司車隨時處於可以上貨之停放位置。若有自取車輛需入廠取貨，公司車配合移開後，務必盡速停回。
13.場內維運,13-2,"[每日銷貨單金額確認]
早上組:涂小姐、婕柔
下午組:菲菲、宛芝"
14.績效,14-1,同一件事情重複犯錯或者未經允許自行調換工作累犯3次，年終獎金取消。
14.績效,14-2,【排出車注意事項】出貨勿問老闆哪一家要出，若貨物吊上後又取消吊下來，每次合計缺失1點，倘若此動作為主管指示，則不記點，(並請主管留下文字同意字樣，例如簡單紙條記載並請主管簽名或是LINE對話留下指示或是同意紀錄)
14.績效,14-3,"請依照工作注意事項之相關規定執行業務，勿使用[以前說、老闆娘說
]作為依據，倘若碰到特殊狀況或是主管有特別指示，請在事前以文字留下指示紀錄(可將主管指示之內容，簡單描述傳訊息給主管，並請主管回覆同意做為紀錄)，各項文字紀錄可做為管理與執行之調整參考依據。"
14.績效,13-4,[訊息回覆] 考量多數工作內容對外多需要快速回覆，公司內部同事之工作訊息回覆(若未標明不急)，請於20分鐘內回覆，考量有時可能忙於接電話，若無法及時回覆，請簡單回覆預計回覆時間，或告知電話中(可丟電話圖示回覆)，若無法做到則記點1次。
